block,family_id,stratum,lesson_mode,warm_first,warm_success,cold_success,warm_case_chain_success,cold_case_chain_success,warm_memory_injected,cold_memory_injected,warm_tool_calls,cold_tool_calls,saving_tool_calls,reduction_percent_tool_calls,warm_tool_failures,cold_tool_failures,saving_tool_failures,reduction_percent_tool_failures,warm_task_model_calls,cold_task_model_calls,saving_task_model_calls,reduction_percent_task_model_calls,warm_task_input_tokens,cold_task_input_tokens,saving_task_input_tokens,reduction_percent_task_input_tokens,warm_task_output_tokens,cold_task_output_tokens,saving_task_output_tokens,reduction_percent_task_output_tokens,warm_total_model_calls,cold_total_model_calls,saving_total_model_calls,reduction_percent_total_model_calls,warm_total_input_tokens,cold_total_input_tokens,saving_total_input_tokens,reduction_percent_total_input_tokens,warm_total_output_tokens,cold_total_output_tokens,saving_total_output_tokens,reduction_percent_total_output_tokens,warm_duration_ms,cold_duration_ms,saving_duration_ms,reduction_percent_duration_ms
1,cache-verification-rule,verification-rule,seeded,False,True,False,True,False,True,False,7,15,8.0,53.333333333333336,0,2,2.0,100.0,8,14,6.0,42.857142857142854,55310,112964,57654.0,51.037498672143336,599,1925,1326.0,68.88311688311688,8,15,7.0,46.666666666666664,55310,116139,60829.0,52.376032168349994,599,2501,1902.0,76.04958016793283,9509,26637,17128.0,64.30153545819725
1,cli-command,command-recovery,seeded,False,True,True,True,True,True,False,1,7,6.0,85.71428571428571,0,1,1.0,100.0,2,6,4.0,66.66666666666667,13298,40884,27586.0,67.47382839252519,183,463,280.0,60.475161987041034,2,7,5.0,71.42857142857143,13298,43344,30046.0,69.31985972683647,183,640,457.0,71.40625,2924,10124,7200.0,71.11813512445674
1,error-envelope-constraint,project-constraint,seeded,False,True,False,True,False,True,False,13,7,-6.0,-85.71428571428571,2,0,-2.0,,10,5,-5.0,-100.0,75638,34829,-40809.0,-117.16960004593872,1352,437,-915.0,-209.3821510297483,11,5,-6.0,-120.0,79507,34829,-44678.0,-128.27815900542652,2140,437,-1703.0,-389.7025171624714,20502,5883,-14619.0,-248.49566547679754
1,exclusive-window-repair,code-repair,seeded,False,True,True,True,True,True,False,8,9,1.0,11.11111111111111,0,0,0.0,,8,8,0.0,0.0,55963,55715,-248.0,-0.4451224984295073,605,1001,396.0,39.56043956043956,8,8,0.0,0.0,55963,55715,-248.0,-0.4451224984295073,605,1001,396.0,39.56043956043956,9451,12248,2797.0,22.836381450032658
1,expired-session-repair,code-repair,learned,False,False,True,False,True,True,False,10,8,-2.0,-25.0,0,0,0.0,,9,6,-3.0,-50.0,66150,41370,-24780.0,-59.898477157360404,1085,641,-444.0,-69.26677067082683,9,6,-3.0,-50.0,66150,41370,-24780.0,-59.898477157360404,1085,641,-444.0,-69.26677067082683,12956,8978,-3978.0,-44.30830920026732
1,ledger-verification-rule,verification-rule,learned,True,True,True,True,True,True,False,7,9,2.0,22.22222222222222,0,0,0.0,,6,8,2.0,25.0,42507,55437,12930.0,23.323772931435684,587,595,8.0,1.3445378151260505,7,9,2.0,22.22222222222222,44927,58043,13116.0,22.597040125424254,953,934,-19.0,-2.0342612419700212,11092,11145,53.0,0.47554957379991025
1,optional-field-constraint,project-constraint,learned,True,True,True,True,True,True,False,9,11,2.0,18.181818181818183,0,3,3.0,100.0,8,8,0.0,0.0,58142,58829,687.0,1.1677913954002277,630,875,245.0,28.0,9,9,0.0,0.0,60608,62667,2059.0,3.285620821165845,921,1557,636.0,40.847784200385355,12315,15696,3381.0,21.54051987767584
1,parser-verification-rule,verification-rule,learned,False,True,True,True,True,True,False,6,8,2.0,25.0,0,0,0.0,,6,6,0.0,0.0,42287,43373,1086.0,2.503861849537731,547,727,180.0,24.759284731774414,7,7,0.0,0.0,44636,46141,1505.0,3.261741184629722,727,1052,325.0,30.893536121673005,9133,10522,1389.0,13.20091237407337
1,payload-command,command-recovery,learned,True,True,True,True,True,True,False,5,6,1.0,16.666666666666668,0,1,1.0,100.0,5,6,1.0,16.666666666666668,34401,40799,6398.0,15.681756905806514,411,533,122.0,22.889305816135085,5,7,2.0,28.571428571428573,34401,43640,9239.0,21.170944087992666,411,912,501.0,54.93421052631579,5832,12214,6382.0,52.25151465531358
1,registry-order-constraint,project-constraint,learned,True,True,True,True,True,True,False,10,9,-1.0,-11.11111111111111,1,0,-1.0,,9,6,-3.0,-50.0,66110,41892,-24218.0,-57.810560488876156,883,683,-200.0,-29.282576866764277,10,7,-3.0,-42.857142857142854,68947,44348,-24599.0,-55.46811581131055,1179,1022,-157.0,-15.362035225048924,13300,11801,-1499.0,-12.702313363274298
1,release-command,command-recovery,learned,True,True,False,True,False,True,False,2,9,7.0,77.77777777777777,0,4,4.0,100.0,3,8,5.0,62.5,20256,57094,36838.0,64.52166602445091,336,1742,1406.0,80.71182548794489,3,9,6.0,66.66666666666667,20256,60623,40367.0,66.58693895056332,336,2124,1788.0,84.18079096045197,4983,22788,17805.0,78.1332280147446
