suite,case_id,task_id,turn_index,category,condition,run_id,case_status,functional_success,marker_pass,model_calls,tool_calls,tool_errors,input_tokens,output_tokens,duration_ms,memory_selected,memory_rendered,compaction_count,tokens_freed,messages_removed,skill_loaded,required_tool_observed
primary,memory-chain-auth,memory-chain-auth#1,1,persistent-memory-learning,learn,run_89964e3471fd4774a9a994c433349f72,passed,True,True,4,3,1,27266,279,7235,0,0,0,0,0,False,True
primary,memory-chain-auth,memory-chain-auth#2,2,persistent-memory-learning,warm_learned,run_9a7906595e6b4efe9abed48a1be165dd,passed,True,True,5,4,0,33387,221,5386,1,1,0,0,0,False,True
primary,memory-cold-auth,memory-cold-auth#1,1,persistent-memory-control,cold,run_bd9f47a2fa4348dda34feded6bacb989,passed,True,True,5,5,0,33187,302,5181,0,0,0,0,0,False,True
primary,memory-chain-runtime,memory-chain-runtime#1,1,persistent-memory-learning,learn,run_8503adde7d2c4a88929ecab277b0056a,failed,True,True,6,6,1,40917,395,8673,0,0,0,0,0,False,True
primary,memory-chain-runtime,memory-chain-runtime#2,2,persistent-memory-learning,warm_learned,run_8685b703310e4403a5941253bb0f87b7,failed,True,True,5,6,0,33339,328,5762,0,0,0,0,0,False,True
primary,memory-cold-runtime,memory-cold-runtime#1,1,persistent-memory-control,cold,run_c9b92df447cd474ba2e0a7677887e754,passed,True,True,5,5,0,33183,255,5286,0,0,0,0,0,False,True
primary,memory-warm-deploy,memory-warm-deploy#1,1,persistent-memory-warm,warm_seeded,run_54d73be88a2b4dbab23f8a81e5bec00e,passed,True,True,5,4,0,33156,259,4673,1,1,0,0,0,False,True
primary,memory-cold-deploy,memory-cold-deploy#1,1,persistent-memory-control,cold,run_3a67b1372ece4e5d8f916c1c904bbbc9,passed,True,True,5,5,0,33193,269,5476,0,0,0,0,0,False,True
primary,memory-warm-schema,memory-warm-schema#1,1,persistent-memory-warm,warm_seeded,run_5eeeb4c1e6484bc4b797bcea923c0aed,passed,True,True,5,5,0,33288,270,5042,1,1,0,0,0,False,True
primary,memory-cold-schema,memory-cold-schema#1,1,persistent-memory-control,cold,run_cc1bcfcab4ce414296fd275321dbfe4c,passed,True,True,5,5,0,33130,261,4825,0,0,0,0,0,False,True
primary,context-goal-retention,context-goal-retention#1,1,context-compaction,compaction,run_b84498bbc4d74c85a9320eaa4580cd16,passed,True,True,1,0,0,9860,6,6174,0,0,1,4831,13,False,True
primary,context-fact-retention,context-fact-retention#1,1,context-compaction,compaction,run_3d7ca2180df240ab924a047851883bf8,passed,True,True,1,0,0,9713,6,6571,0,0,1,4944,13,False,True
primary,context-rejected-retention,context-rejected-retention#1,1,context-compaction,compaction,run_919b6e20ebde4e50847177a0fb32e802,passed,True,True,1,0,0,9875,7,7179,0,0,1,4823,13,False,True
primary,context-constraint-retention,context-constraint-retention#1,1,context-compaction,compaction,run_b3141681e35d4f158cc7c31f1a42c3c5,passed,True,True,1,0,0,9811,10,6100,0,0,1,4871,13,False,True
primary,context-decision-retention,context-decision-retention#1,1,context-compaction,compaction,run_7da2a2cfb9754f12956528678c6a8699,passed,True,True,1,0,0,9775,6,6507,0,0,1,4866,13,False,True
primary,context-combined-retention,context-combined-retention#1,1,context-compaction,compaction,run_7f47fb630c0f4e5bb1cd01fec1765c04,passed,True,True,1,0,0,9780,32,6433,0,0,1,4916,13,False,True
primary,context-large-file-result,context-large-file-result#1,1,context-compaction,compaction,run_71bd6298170b45a9978a8b6d48296430,passed,True,True,25,31,0,257088,9586,153195,0,0,1,4782,13,False,True
primary,context-loaded-skill-result,context-loaded-skill-result#1,1,context-compaction,compaction,run_f0e476a64f2f4220a05f9242e8d87f15,passed,True,True,2,1,0,21877,83,12194,0,0,1,4783,13,True,True
primary,context-two-round-continuity,context-two-round-continuity#1,1,context-compaction,compaction,run_f09330d4e3c24ea38b77ce51f9a7adf7,passed,True,True,1,0,0,9684,13,5688,0,0,1,4995,13,False,True
primary,context-two-round-continuity,context-two-round-continuity#2,2,context-compaction,compaction,run_c46ef221697146c3800060f18976b1ef,passed,True,True,1,0,0,8639,13,6643,0,0,1,1068,3,False,True
addendum,context-skill-cross-boundary,context-skill-cross-boundary#1,1,context-compaction-addendum,cross_boundary_source,run_a31d156e5aa2479e977065ac31951742,passed,True,True,2,1,0,21047,81,10486,0,0,1,5009,13,True,True
addendum,context-skill-cross-boundary,context-skill-cross-boundary#2,2,context-compaction-addendum,cross_boundary_recall,run_40c88200f78741c29749d3d5fb7e738e,passed,True,True,2,1,0,20267,69,4220,0,0,1,777,2,False,True
addendum,context-file-cross-boundary,context-file-cross-boundary#1,1,context-compaction-addendum,cross_boundary_source,run_02a6ae00aeba41bb8151f35f95479c4e,failed,True,True,1,0,0,9862,6,6686,0,0,1,4866,13,False,False
addendum,context-file-cross-boundary,context-file-cross-boundary#2,2,context-compaction-addendum,cross_boundary_recall,run_18736b1982d649e2bc906f835f76d56e,failed,False,False,1,0,0,8577,11,5926,0,0,1,1134,3,False,True
