family_id,stratum,lesson_mode,blocks,warm_success_rate,cold_success_rate,warm_direct_first_rate,cold_direct_first_rate,warm_tool_calls,cold_tool_calls,saving_tool_calls,reduction_percent_tool_calls,warm_tool_failures,cold_tool_failures,saving_tool_failures,reduction_percent_tool_failures,warm_task_model_calls,cold_task_model_calls,saving_task_model_calls,reduction_percent_task_model_calls,warm_task_input_tokens,cold_task_input_tokens,saving_task_input_tokens,reduction_percent_task_input_tokens,warm_task_output_tokens,cold_task_output_tokens,saving_task_output_tokens,reduction_percent_task_output_tokens,warm_total_model_calls,cold_total_model_calls,saving_total_model_calls,reduction_percent_total_model_calls,warm_total_input_tokens,cold_total_input_tokens,saving_total_input_tokens,reduction_percent_total_input_tokens,warm_total_output_tokens,cold_total_output_tokens,saving_total_output_tokens,reduction_percent_total_output_tokens,warm_duration_ms,cold_duration_ms,saving_duration_ms,reduction_percent_duration_ms
api-contract,application-security,seeded,3,1.0,1.0,1.0,0.0,1.0,5.666666666666667,4.666666666666667,82.3529411764706,0.0,0.0,0.0,,2.0,5.666666666666667,3.666666666666667,64.70588235294117,13267.666666666666,37932.666666666664,24665.0,65.02311112673334,124.0,336.3333333333333,212.33333333333331,63.13181367690783,2.0,5.666666666666667,3.666666666666667,64.70588235294117,13267.666666666666,37932.666666666664,24665.0,65.02311112673334,124.0,336.3333333333333,212.33333333333331,63.13181367690783,2561.0,7271.666666666667,4710.666666666667,64.78111391244556
auth-policy,application-security,learned,3,1.0,1.0,1.0,0.0,1.0,3.3333333333333335,2.3333333333333335,70.0,0.0,0.0,0.0,,2.0,3.6666666666666665,1.6666666666666665,45.45454545454545,13355.666666666666,24216.333333333332,10860.666666666666,44.84851821773183,102.0,225.33333333333334,123.33333333333334,54.73372781065089,2.0,3.6666666666666665,1.6666666666666665,45.45454545454545,13355.666666666666,24216.333333333332,10860.666666666666,44.84851821773183,102.0,225.33333333333334,123.33333333333334,54.73372781065089,2736.3333333333335,4923.333333333333,2186.9999999999995,44.421123899796875
billing-rules,application-security,learned,3,1.0,1.0,1.0,0.0,1.0,6.0,5.0,83.33333333333333,0.0,0.0,0.0,,2.0,6.0,4.0,66.66666666666667,13380.333333333334,39945.333333333336,26565.0,66.50338796355018,130.33333333333334,331.6666666666667,201.33333333333334,60.7035175879397,2.0,6.0,4.0,66.66666666666667,13380.333333333334,39945.333333333336,26565.0,66.50338796355018,130.33333333333334,331.6666666666667,201.33333333333334,60.7035175879397,3428.0,7327.0,3899.0,53.2141394840999
cache-policy,data-governance,seeded,3,1.0,1.0,1.0,0.0,1.0,4.333333333333333,3.333333333333333,76.92307692307692,0.0,0.0,0.0,,2.0,4.333333333333333,2.333333333333333,53.84615384615385,13279.0,29169.0,15890.0,54.47564194864411,95.66666666666667,312.6666666666667,217.0,69.40298507462686,2.0,4.333333333333333,2.333333333333333,53.84615384615385,13279.0,29169.0,15890.0,54.47564194864411,95.66666666666667,312.6666666666667,217.0,69.40298507462686,3119.6666666666665,7172.333333333333,4052.6666666666665,56.50415950178928
deploy-runbook,operations,seeded,3,1.0,1.0,1.0,0.0,1.0,4.333333333333333,3.333333333333333,76.92307692307692,0.0,0.0,0.0,,2.0,4.333333333333333,2.333333333333333,53.84615384615385,13289.333333333334,28887.0,15597.666666666666,53.995453548885884,141.0,283.3333333333333,142.33333333333331,50.23529411764706,2.0,4.333333333333333,2.333333333333333,53.84615384615385,13289.333333333334,28887.0,15597.666666666666,53.995453548885884,141.0,283.3333333333333,142.33333333333331,50.23529411764706,3432.3333333333335,6722.666666666667,3290.3333333333335,48.943871479571605
feature-flags,application-security,seeded,3,1.0,1.0,1.0,0.0,1.3333333333333333,3.3333333333333335,2.0,60.0,0.0,0.0,0.0,,2.3333333333333335,3.6666666666666665,1.333333333333333,36.36363636363636,15547.0,24183.0,8636.0,35.71103667865856,149.66666666666666,215.33333333333334,65.66666666666669,30.495356037151712,2.3333333333333335,3.6666666666666665,1.333333333333333,36.36363636363636,15547.0,24183.0,8636.0,35.71103667865856,149.66666666666666,215.33333333333334,65.66666666666669,30.495356037151712,3382.0,5282.333333333333,1900.333333333333,35.975263456805706
migration-plan,data-governance,learned,3,1.0,1.0,1.0,0.0,1.0,5.0,4.0,80.0,0.0,0.0,0.0,,2.0,4.333333333333333,2.333333333333333,53.84615384615385,13357.333333333334,28851.666666666668,15494.333333333334,53.703425567558206,99.66666666666667,280.3333333333333,180.66666666666663,64.44708680142686,2.0,4.333333333333333,2.333333333333333,53.84615384615385,13357.333333333334,28851.666666666668,15494.333333333334,53.703425567558206,99.66666666666667,280.3333333333333,180.66666666666663,64.44708680142686,2994.3333333333335,5698.333333333333,2703.9999999999995,47.45247148288973
model-routing,developer-platform,seeded,3,1.0,1.0,1.0,0.0,1.0,4.666666666666667,3.666666666666667,78.57142857142857,0.0,0.0,0.0,,2.0,4.333333333333333,2.333333333333333,53.84615384615385,13265.333333333334,28768.333333333332,15502.999999999998,53.88911418805399,108.33333333333333,278.3333333333333,170.0,61.07784431137725,2.0,4.333333333333333,2.333333333333333,53.84615384615385,13265.333333333334,28768.333333333332,15502.999999999998,53.88911418805399,108.33333333333333,278.3333333333333,170.0,61.07784431137725,3005.0,5909.0,2904.0,49.14537146725334
observability,operations,learned,3,1.0,1.0,1.0,0.0,1.0,5.333333333333333,4.333333333333333,81.25,0.0,0.0,0.0,,2.0,5.0,3.0,60.0,13374.333333333334,33823.0,20448.666666666664,60.45787383338753,104.0,349.0,245.0,70.20057306590257,2.0,5.0,3.0,60.0,13374.333333333334,33823.0,20448.666666666664,60.45787383338753,104.0,349.0,245.0,70.20057306590257,3062.3333333333335,7411.0,4348.666666666666,58.67854090765978
package-map,developer-platform,learned,3,1.0,0.6666666666666666,1.0,0.0,1.0,5.666666666666667,4.666666666666667,82.3529411764706,0.0,0.3333333333333333,0.3333333333333333,99.99999999999999,2.0,5.0,3.0,60.0,13350.333333333334,33310.666666666664,19960.33333333333,59.9217467878157,108.0,293.3333333333333,185.33333333333331,63.18181818181818,2.0,5.333333333333333,3.333333333333333,62.5,13350.333333333334,33870.666666666664,20520.33333333333,60.58437979766168,108.0,349.0,241.0,69.05444126074498,3224.6666666666665,8283.0,5058.333333333334,61.06885588957302
