case_id,run_id,block,family_id,stratum,case_oracle_success,verified_recovery,run_completed,task_outcome_success,task_model_calls,total_model_calls,reflection_model_calls,task_input_tokens,task_output_tokens,total_input_tokens,total_output_tokens,tool_calls,tool_failures,successful_read_files,direct_first,first_tool,memory_injected,memory_rendered_count,duration_ms
pmem-b1-observability-warm,run_036012f379f44791b64efbe58bdd6d03,1,observability,operations,True,True,True,True,7,8,1,49782,553,51995,924,8,1,2,False,read_file,False,0,10438
pmem-b1-migration-plan-warm,run_0fd623b56cae4c0f88a886d1ee043e59,1,migration-plan,data-governance,True,True,True,True,4,5,1,27671,312,29509,678,3,1,1,False,read_file,False,0,8711
pmem-b1-runtime-config-warm,run_6511fa8631aa417e854bc19b3fb841cd,1,runtime-config,operations,True,True,True,True,5,6,1,34838,336,36851,707,5,1,2,False,read_file,False,0,8685
pmem-b1-auth-policy-warm,run_589e8d07a4934c8e9f2eb668891c1373,1,auth-policy,application-security,True,True,True,True,6,7,1,41512,357,43454,728,5,1,1,False,read_file,False,0,10032
pmem-b1-retention-policy-warm,run_e5da9c3c1a3d40559ae7ac9506649419,1,retention-policy,data-governance,True,True,True,True,5,6,1,34721,313,36615,681,4,1,1,False,read_file,False,0,8717
pmem-b1-billing-rules-warm,run_26d3cdd2248d4bcd8d26c80242abe48c,1,billing-rules,application-security,True,True,True,True,6,7,1,42168,458,44178,830,5,1,2,False,read_file,False,0,14064
pmem-b1-package-map-warm,run_6649f6f63fd34e2d8c62e960a9699a77,1,package-map,developer-platform,True,True,True,True,5,6,1,34751,404,37012,790,5,1,1,False,read_file,False,0,11388
pmem-b1-test-matrix-warm,run_b83b74120ec94b018f2f8c1b32a6759c,1,test-matrix,developer-platform,True,True,True,True,7,8,1,48860,496,51101,881,7,1,1,False,read_file,False,0,14841
pmem-b2-billing-rules-warm,run_814a07a2269f4f148101400513923b6c,2,billing-rules,application-security,True,True,True,True,4,5,1,27734,272,29562,643,3,1,1,False,read_file,False,0,9282
pmem-b2-test-matrix-warm,run_713a2d7571e64ca79ebb299a71fdab62,2,test-matrix,developer-platform,True,True,True,True,5,6,1,34879,281,37035,643,3,1,1,False,read_file,False,0,10939
pmem-b2-runtime-config-warm,run_1343c1b9048b4d798cc1063d9a7ccc9f,2,runtime-config,operations,True,True,True,True,6,7,1,41889,422,44025,798,7,1,2,False,read_file,False,0,12751
pmem-b2-migration-plan-warm,run_457332afdd124834ac7a91104872cc42,2,migration-plan,data-governance,True,True,True,True,4,5,1,27926,391,29925,766,5,1,2,False,read_file,False,0,10330
pmem-b2-retention-policy-warm,run_f257f447b7ef48eda9e910889fbd936b,2,retention-policy,data-governance,True,True,True,True,6,7,1,41679,351,43636,716,5,1,1,False,read_file,False,0,12606
pmem-b2-package-map-warm,run_64b24a4d2bca46189410b59eb4c285e5,2,package-map,developer-platform,True,True,True,True,7,8,1,48990,442,51390,819,7,1,1,False,read_file,False,0,13493
pmem-b2-observability-warm,run_d1239f4f0f8a496f851080a0b5d35e88,2,observability,operations,True,True,True,True,4,5,1,27698,271,29527,636,3,1,1,False,read_file,False,0,7698
pmem-b2-auth-policy-warm,run_4507bbd29f574810b3a43c8c18ed9372,2,auth-policy,application-security,True,True,True,True,6,7,1,41419,383,43375,743,5,1,1,False,read_file,False,0,11490
pmem-b3-billing-rules-warm,run_1b115b3a0ce84e2daedaf503753f6097,3,billing-rules,application-security,True,True,True,True,7,8,1,49086,473,51235,845,7,1,2,False,read_file,False,0,11096
pmem-b3-runtime-config-warm,run_37e3f8f5925b4436b37f20c6b4f67606,3,runtime-config,operations,True,True,True,True,6,7,1,42083,496,44231,883,7,1,2,False,read_file,False,0,12416
pmem-b3-package-map-warm,run_cf81d13a5a1e45a1b8f1bcc5d5c012b9,3,package-map,developer-platform,True,True,True,True,7,8,1,48851,438,51180,815,6,1,1,False,read_file,False,0,14479
pmem-b3-migration-plan-warm,run_fa375a5ce20a439f9738d4c124a856e9,3,migration-plan,data-governance,True,True,True,True,5,6,1,34652,393,36549,767,4,1,1,False,read_file,False,0,11516
pmem-b3-observability-warm,run_690b550608154c2b91b9300c270bdb44,3,observability,operations,True,True,True,True,7,8,1,48993,429,51137,800,7,1,2,False,read_file,False,0,13682
pmem-b3-retention-policy-warm,run_987c8569253240268b9b0d0db3139a98,3,retention-policy,data-governance,True,True,True,True,5,6,1,34974,352,36908,719,4,1,2,False,read_file,False,0,10598
pmem-b3-auth-policy-warm,run_f8d0b21f603c4d21a8681ab11bad4e13,3,auth-policy,application-security,True,True,True,True,4,5,1,27692,284,29509,652,3,1,1,False,read_file,False,0,9771
pmem-b3-test-matrix-warm,run_cb3a213851d04b0b8f28ecd7ed49108e,3,test-matrix,developer-platform,True,True,True,True,7,8,1,48632,416,50815,841,6,1,1,False,read_file,False,0,15903
