block,family_id,stratum,lesson_mode,warm_first,warm_success,cold_success,warm_direct_first,cold_direct_first,warm_memory_injected,cold_memory_injected,warm_tool_calls,cold_tool_calls,saving_tool_calls,reduction_percent_tool_calls,warm_tool_failures,cold_tool_failures,saving_tool_failures,reduction_percent_tool_failures,warm_task_model_calls,cold_task_model_calls,saving_task_model_calls,reduction_percent_task_model_calls,warm_task_input_tokens,cold_task_input_tokens,saving_task_input_tokens,reduction_percent_task_input_tokens,warm_task_output_tokens,cold_task_output_tokens,saving_task_output_tokens,reduction_percent_task_output_tokens,warm_total_model_calls,cold_total_model_calls,saving_total_model_calls,reduction_percent_total_model_calls,warm_total_input_tokens,cold_total_input_tokens,saving_total_input_tokens,reduction_percent_total_input_tokens,warm_total_output_tokens,cold_total_output_tokens,saving_total_output_tokens,reduction_percent_total_output_tokens,warm_duration_ms,cold_duration_ms,saving_duration_ms,reduction_percent_duration_ms
1,api-contract,application-security,seeded,True,True,True,True,False,True,False,1,7,6.0,85.71428571428571,0,0,0.0,,2,7,5.0,71.42857142857143,13266,46965,33699.0,71.75343340785692,117,418,301.0,72.00956937799043,2,7,5.0,71.42857142857143,13266,46965,33699.0,71.75343340785692,117,418,301.0,72.00956937799043,2300,8531,6231.0,73.03950298909858
1,auth-policy,application-security,learned,True,True,True,True,False,True,False,1,4,3.0,75.0,0,0,0.0,,2,5,3.0,60.0,13358,33065,19707.0,59.600786329956144,104,241,137.0,56.84647302904564,2,5,3.0,60.0,13358,33065,19707.0,59.600786329956144,104,241,137.0,56.84647302904564,3012,5375,2363.0,43.96279069767442
1,billing-rules,application-security,learned,False,True,True,True,False,True,False,1,5,4.0,80.0,0,0,0.0,,2,6,4.0,66.66666666666667,13381,39594,26213.0,66.20447542556953,132,301,169.0,56.14617940199336,2,6,4.0,66.66666666666667,13381,39594,26213.0,66.20447542556953,132,301,169.0,56.14617940199336,3674,6668,2994.0,44.90101979604079
1,cache-policy,data-governance,seeded,True,True,True,True,False,True,False,1,3,2.0,66.66666666666667,0,0,0.0,,2,3,1.0,33.333333333333336,13264,19804,6540.0,33.02363158957786,82,178,96.0,53.93258426966292,2,3,1.0,33.333333333333336,13264,19804,6540.0,33.02363158957786,82,178,96.0,53.93258426966292,2426,4389,1963.0,44.725449988607885
1,deploy-runbook,operations,seeded,False,True,True,True,False,True,False,1,7,6.0,85.71428571428571,0,0,0.0,,2,6,4.0,66.66666666666667,13315,40484,27169.0,67.11046339294536,189,433,244.0,56.351039260969976,2,6,4.0,66.66666666666667,13315,40484,27169.0,67.11046339294536,189,433,244.0,56.351039260969976,3455,9352,5897.0,63.056030795551756
1,feature-flags,application-security,seeded,False,True,True,True,False,True,False,1,3,2.0,66.66666666666667,0,0,0.0,,2,3,1.0,33.333333333333336,13277,19807,6530.0,32.96814257585702,138,187,49.0,26.203208556149733,2,3,1.0,33.333333333333336,13277,19807,6530.0,32.96814257585702,138,187,49.0,26.203208556149733,2147,4047,1900.0,46.948356807511736
1,migration-plan,data-governance,learned,True,True,True,True,False,True,False,1,7,6.0,85.71428571428571,0,0,0.0,,2,6,4.0,66.66666666666667,13344,40162,26818.0,66.77456301976993,82,360,278.0,77.22222222222223,2,6,4.0,66.66666666666667,13344,40162,26818.0,66.77456301976993,82,360,278.0,77.22222222222223,2296,6072,3776.0,62.1870882740448
1,model-routing,developer-platform,seeded,False,True,True,True,False,True,False,1,7,6.0,85.71428571428571,0,0,0.0,,2,5,3.0,60.0,13264,33671,20407.0,60.60705057764842,99,390,291.0,74.61538461538461,2,5,3.0,60.0,13264,33671,20407.0,60.60705057764842,99,390,291.0,74.61538461538461,3312,7481,4169.0,55.72784387114022
1,observability,operations,learned,False,True,True,True,False,True,False,1,6,5.0,83.33333333333333,0,0,0.0,,2,6,4.0,66.66666666666667,13364,41026,27662.0,67.42553502656851,86,425,339.0,79.76470588235294,2,6,4.0,66.66666666666667,13364,41026,27662.0,67.42553502656851,86,425,339.0,79.76470588235294,2609,6917,4308.0,62.28133583923666
1,package-map,developer-platform,learned,True,True,True,True,False,True,False,1,7,6.0,85.71428571428571,0,0,0.0,,2,6,4.0,66.66666666666667,13357,40322,26965.0,66.87416298794703,114,375,261.0,69.6,2,6,4.0,66.66666666666667,13357,40322,26965.0,66.87416298794703,114,375,261.0,69.6,3264,8760,5496.0,62.73972602739726
