case_id,run_id,block,family_id,stratum,lesson_mode,condition,condition_order,case_oracle_success,target_success,marker_present,run_completed,task_outcome_success,task_model_calls,total_model_calls,reflection_model_calls,task_input_tokens,task_output_tokens,total_input_tokens,total_output_tokens,tool_calls,tool_failures,successful_read_files,direct_first,first_tool,memory_injected,memory_rendered_count,duration_ms
pmem-b1-schema-contract-warm,run_0af6d49dba794bea83636577ada44c1d,1,schema-contract,data-governance,seeded,warm,1,True,True,True,True,True,2,2,0,13273,103,13273,103,1,0,1,True,read_file,True,1,2239
pmem-b1-schema-contract-cold,run_1addeef8f84e47fd86bf504f6136f439,1,schema-contract,data-governance,seeded,cold,2,True,True,True,True,True,5,5,0,33146,279,33146,279,5,0,2,False,list_files,False,0,5512
pmem-b1-feature-flags-cold,run_40afcf5031cb4880988ce28db168ba29,1,feature-flags,application-security,seeded,cold,1,True,True,True,True,True,3,3,0,19807,187,19807,187,3,0,1,False,grep_files,False,0,4047
pmem-b1-feature-flags-warm,run_13a3e6f9cc12448f9a3bbef35c0b136d,1,feature-flags,application-security,seeded,warm,2,True,True,True,True,True,2,2,0,13277,138,13277,138,1,0,1,True,read_file,True,1,2147
pmem-b1-api-contract-warm,run_2f247f3973e04b319d733626aa65c856,1,api-contract,application-security,seeded,warm,1,True,True,True,True,True,2,2,0,13266,117,13266,117,1,0,1,True,read_file,True,1,2300
pmem-b1-api-contract-cold,run_084640cfb85d4d959a15167ec3ac34de,1,api-contract,application-security,seeded,cold,2,True,True,True,True,True,7,7,0,46965,418,46965,418,7,0,2,False,list_files,False,0,8531
pmem-b1-observability-cold,run_af0873081e8e497d81693f6d52601c41,1,observability,operations,learned,cold,1,True,True,True,True,True,6,6,0,41026,425,41026,425,6,0,1,False,grep_files,False,0,6917
pmem-b1-observability-warm,run_ea3d8778282f4ad3bce3ed340734de9c,1,observability,operations,learned,warm,2,True,True,True,True,True,2,2,0,13364,86,13364,86,1,0,1,True,read_file,True,1,2609
pmem-b1-migration-plan-warm,run_1458a5a8b1bb4d4e99bdff7c4e4cdf57,1,migration-plan,data-governance,learned,warm,1,True,True,True,True,True,2,2,0,13344,82,13344,82,1,0,1,True,read_file,True,1,2296
pmem-b1-migration-plan-cold,run_7e8ceca098d8403facc5f35d6cd8a271,1,migration-plan,data-governance,learned,cold,2,True,True,True,True,True,6,6,0,40162,360,40162,360,7,0,2,False,list_files,False,0,6072
pmem-b1-runtime-config-cold,run_55cb0e606aed4ecfae305d5ae269dd90,1,runtime-config,operations,learned,cold,1,True,True,True,True,True,5,5,0,34121,488,34121,488,8,0,4,False,list_files,False,0,7201
pmem-b1-runtime-config-warm,run_d315b3db02a648a9ac7c7526328fe4e8,1,runtime-config,operations,learned,warm,2,True,True,True,True,True,2,2,0,13378,144,13378,144,1,0,1,True,read_file,True,1,2831
pmem-b1-auth-policy-warm,run_c40582fd5e9f4ce0b7c1691fe0e1e930,1,auth-policy,application-security,learned,warm,1,True,True,True,True,True,2,2,0,13358,104,13358,104,1,0,1,True,read_file,True,1,3012
pmem-b1-auth-policy-cold,run_a9b898b3efb84865af031525e5198fe0,1,auth-policy,application-security,learned,cold,2,True,True,True,True,True,5,5,0,33065,241,33065,241,4,0,1,False,list_files,False,0,5375
pmem-b1-plugin-registry-cold,run_00c96ea642544696b5af53c58f652849,1,plugin-registry,developer-platform,seeded,cold,1,True,True,True,True,True,3,3,0,19797,194,19797,194,3,0,1,False,list_files,False,0,3633
pmem-b1-plugin-registry-warm,run_8141ddedd1b04d3ea9a8b0dfe78938fd,1,plugin-registry,developer-platform,seeded,warm,2,True,True,True,True,True,2,2,0,13245,81,13245,81,1,0,1,True,read_file,True,1,2485
pmem-b1-retention-policy-warm,run_87bd8c7775a54258a471ed3e1c4799ad,1,retention-policy,data-governance,learned,warm,1,True,True,True,True,True,2,2,0,13353,59,13353,59,1,0,1,True,read_file,True,1,1837
pmem-b1-retention-policy-cold,run_23764cfe51b944c6a0b767b9846d4bd4,1,retention-policy,data-governance,learned,cold,2,True,True,True,True,True,6,6,0,39819,274,39819,274,6,0,2,False,list_files,False,0,6588
pmem-b1-billing-rules-cold,run_0b3f3a5488d34f1e8473f75243237d59,1,billing-rules,application-security,learned,cold,1,True,True,True,True,True,6,6,0,39594,301,39594,301,5,0,1,False,list_files,False,0,6668
pmem-b1-billing-rules-warm,run_d65f2948636e4355a4cdc8ede9f3fdb2,1,billing-rules,application-security,learned,warm,2,True,True,True,True,True,2,2,0,13381,132,13381,132,1,0,1,True,read_file,True,1,3674
pmem-b1-cache-policy-warm,run_9add1537efe2426f8bfd1df43cbf91f4,1,cache-policy,data-governance,seeded,warm,1,True,True,True,True,True,2,2,0,13264,82,13264,82,1,0,1,True,read_file,True,1,2426
pmem-b1-cache-policy-cold,run_aa43bb6d952749dc994cee226d2d27d3,1,cache-policy,data-governance,seeded,cold,2,True,True,True,True,True,3,3,0,19804,178,19804,178,3,0,1,False,list_files,False,0,4389
pmem-b1-deploy-runbook-cold,run_a1fecd0ff00e4c35b7536f9145701baf,1,deploy-runbook,operations,seeded,cold,1,True,True,True,True,True,6,6,0,40484,433,40484,433,7,0,2,False,list_files,False,0,9352
pmem-b1-deploy-runbook-warm,run_1e96cafce77a4c449d4d3deeeb528f09,1,deploy-runbook,operations,seeded,warm,2,True,True,True,True,True,2,2,0,13315,189,13315,189,1,0,1,True,read_file,True,1,3455
pmem-b1-package-map-warm,run_e9eb3f38afef4dc1a823bb336d66f7d5,1,package-map,developer-platform,learned,warm,1,True,True,True,True,True,2,2,0,13357,114,13357,114,1,0,1,True,read_file,True,1,3264
pmem-b1-package-map-cold,run_7deb83e3449a4c0fadf5f9e47da98ca7,1,package-map,developer-platform,learned,cold,2,True,True,True,True,True,6,6,0,40322,375,40322,375,7,0,2,False,list_files,False,0,8760
pmem-b1-test-matrix-cold,run_9686c0c92dba4e458ec002e197c35351,1,test-matrix,developer-platform,learned,cold,1,True,True,True,True,True,6,6,0,39981,302,39981,302,6,0,2,False,list_files,False,0,9144
pmem-b1-test-matrix-warm,run_ca4860dc8c024d518bcccd06a757743b,1,test-matrix,developer-platform,learned,warm,2,True,True,True,True,True,2,2,0,13354,138,13354,138,1,0,1,True,read_file,True,1,3429
pmem-b1-queue-policy-warm,run_2a8dc416e957470592ff5b809b0b6997,1,queue-policy,operations,seeded,warm,1,True,True,True,True,True,2,2,0,13264,92,13264,92,1,0,1,True,read_file,True,1,3352
pmem-b1-queue-policy-cold,run_5166d43b4e4a4eaca4e40f4db24cd589,1,queue-policy,operations,seeded,cold,2,True,True,True,True,True,6,6,0,39528,274,39528,274,5,0,1,False,list_files,False,0,8903
pmem-b1-model-routing-cold,run_564c7ce9758e4924bf49d2251e9c4557,1,model-routing,developer-platform,seeded,cold,1,True,True,True,True,True,5,5,0,33671,390,33671,390,7,0,2,False,list_files,False,0,7481
pmem-b1-model-routing-warm,run_886aeee6b4f7496d93acae6e7056f389,1,model-routing,developer-platform,seeded,warm,2,True,True,True,True,True,2,2,0,13264,99,13264,99,1,0,1,True,read_file,True,1,3312
pmem-b2-billing-rules-cold,run_cb7801aa865446d38299b9e90f580338,2,billing-rules,application-security,learned,cold,1,True,True,True,True,True,6,6,0,39996,331,39996,331,6,0,2,False,list_files,False,0,9069
pmem-b2-billing-rules-warm,run_22346ebf597547c286a71a63825e7875,2,billing-rules,application-security,learned,warm,2,True,True,True,True,True,2,2,0,13393,141,13393,141,1,0,1,True,read_file,True,1,3536
pmem-b2-test-matrix-warm,run_c88626a020cd41e9b70bfb0e644e9f74,2,test-matrix,developer-platform,learned,warm,1,True,True,True,True,True,2,2,0,13322,83,13322,83,1,0,1,True,read_file,True,1,2865
pmem-b2-test-matrix-cold,run_a8e2cee0dba047acb7fbe3bd8275294c,2,test-matrix,developer-platform,learned,cold,2,True,True,True,True,True,6,6,0,39971,319,39971,319,6,0,2,False,list_files,False,0,9288
pmem-b2-runtime-config-cold,run_4cc9c989391c4292bc89d624070e683a,2,runtime-config,operations,learned,cold,1,True,True,True,True,True,5,5,0,33378,321,33378,321,6,0,2,False,list_files,False,0,7867
pmem-b2-runtime-config-warm,run_774952930b774266852a62c72899a98c,2,runtime-config,operations,learned,warm,2,True,True,True,True,True,3,3,0,20249,186,20249,186,2,0,2,True,read_file,True,1,4841
pmem-b2-migration-plan-warm,run_a7e9263fe761424f96f530f560e08b20,2,migration-plan,data-governance,learned,warm,1,True,True,True,True,True,2,2,0,13344,84,13344,84,1,0,1,True,read_file,True,1,3073
pmem-b2-migration-plan-cold,run_b773fe15938c426d976695d5ed3076a6,2,migration-plan,data-governance,learned,cold,2,True,True,True,True,True,3,3,0,19964,218,19964,218,4,0,1,False,list_files,False,0,5055
pmem-b2-queue-policy-cold,run_7e10f44ed9d94567949edfbf835b5b69,2,queue-policy,operations,seeded,cold,1,True,True,True,True,True,6,6,0,40015,356,40015,356,6,0,2,False,list_files,False,0,8678
pmem-b2-queue-policy-warm,run_186bcc5923654c45a67157be3c6fb3f5,2,queue-policy,operations,seeded,warm,2,True,True,True,True,True,2,2,0,13264,91,13264,91,1,0,1,True,read_file,True,1,3208
pmem-b2-cache-policy-warm,run_69876044d46c418d93512fb0adbbf2ee,2,cache-policy,data-governance,seeded,warm,1,True,True,True,True,True,2,2,0,13286,101,13286,101,1,0,1,True,read_file,True,1,3013
pmem-b2-cache-policy-cold,run_1c18b4f16d8542e4a0e04c6d790b4f58,2,cache-policy,data-governance,seeded,cold,2,True,True,True,True,True,3,3,0,19825,239,19825,239,3,0,1,False,list_files,False,0,5329
pmem-b2-schema-contract-cold,run_d51b6998271d424eacee556a1bb276d2,2,schema-contract,data-governance,seeded,cold,1,True,True,True,True,True,5,5,0,33062,246,33062,246,5,0,2,False,list_files,False,0,7238
pmem-b2-schema-contract-warm,run_8e54d3f207944082a00f218b89071abe,2,schema-contract,data-governance,seeded,warm,2,True,True,True,True,True,2,2,0,13264,115,13264,115,1,0,1,True,read_file,True,1,3337
pmem-b2-feature-flags-warm,run_4687257ea2aa45b497659ca0628b120c,2,feature-flags,application-security,seeded,warm,1,True,True,True,True,True,3,3,0,20100,227,20100,227,2,0,2,True,read_file,True,1,4615
pmem-b2-feature-flags-cold,run_d9699b32a2484a299ed3732d1c634d7c,2,feature-flags,application-security,seeded,cold,2,True,True,True,True,True,4,4,0,26434,251,26434,251,4,0,1,False,list_files,False,0,6435
pmem-b2-deploy-runbook-cold,run_7449f6c3fa374a6582800634ab8067cb,2,deploy-runbook,operations,seeded,cold,1,True,True,True,True,True,4,4,0,26481,240,26481,240,4,0,1,False,list_files,False,0,6122
pmem-b2-deploy-runbook-warm,run_931d980deb1d41c1a30ac78f075cc928,2,deploy-runbook,operations,seeded,warm,2,True,True,True,True,True,2,2,0,13270,140,13270,140,1,0,1,True,read_file,True,1,3856
pmem-b2-retention-policy-warm,run_d97d75b4b3c14b7bac2ebe805b4af1ce,2,retention-policy,data-governance,learned,warm,1,True,True,True,True,True,2,2,0,13367,107,13367,107,1,0,1,True,read_file,True,1,2754
pmem-b2-retention-policy-cold,run_960f4c494b2e45fbaa8aa5f32fd91fe0,2,retention-policy,data-governance,learned,cold,2,True,True,True,True,True,6,6,0,40169,318,40169,318,7,0,2,False,list_files,False,0,8266
pmem-b2-package-map-cold,run_73a83b5111324040898746acbeb21964,2,package-map,developer-platform,learned,cold,1,True,True,True,True,True,6,6,0,39872,302,39872,302,6,0,1,False,list_files,False,0,8963
pmem-b2-package-map-warm,run_d40175b931cd469e9998b8541da39f47,2,package-map,developer-platform,learned,warm,2,True,True,True,True,True,2,2,0,13354,113,13354,113,1,0,1,True,read_file,True,1,3319
pmem-b2-observability-warm,run_533418a5a59f485bafc6146150ad874d,2,observability,operations,learned,warm,1,True,True,True,True,True,2,2,0,13377,126,13377,126,1,0,1,True,read_file,True,1,3464
pmem-b2-observability-cold,run_d97fdbd2be614deaaf86accae1f6ee11,2,observability,operations,learned,cold,2,True,True,True,True,True,3,3,0,19800,215,19800,215,3,0,1,False,list_files,False,0,5185
pmem-b2-plugin-registry-cold,run_72df218317b54ac3a587421215180a8d,2,plugin-registry,developer-platform,seeded,cold,1,True,True,True,True,True,3,3,0,19775,173,19775,173,3,0,1,False,list_files,False,0,4603
pmem-b2-plugin-registry-warm,run_6e543531e78f41ddba45a6b81de6411c,2,plugin-registry,developer-platform,seeded,warm,2,True,True,True,True,True,2,2,0,13273,104,13273,104,1,0,1,True,read_file,True,1,4314
pmem-b2-auth-policy-warm,run_34387c336ee1440b8fb250cefab4a2af,2,auth-policy,application-security,learned,warm,1,True,True,True,True,True,2,2,0,13368,117,13368,117,1,0,1,True,read_file,True,1,1991
pmem-b2-auth-policy-cold,run_83ed163bbc09416aadf9a62f3443c8f4,2,auth-policy,application-security,learned,cold,2,True,True,True,True,True,3,3,0,19789,219,19789,219,3,0,1,False,grep_files,False,0,4683
pmem-b2-model-routing-cold,run_5183580513d340588af997fc73371465,2,model-routing,developer-platform,seeded,cold,1,True,True,True,True,True,5,5,0,32854,266,32854,266,4,0,1,False,list_files,False,0,5443
pmem-b2-model-routing-warm,run_dfafd6cd531c4ef6a096ddcc54a36ee9,2,model-routing,developer-platform,seeded,warm,2,True,True,True,True,True,2,2,0,13266,111,13266,111,1,0,1,True,read_file,True,1,2159
pmem-b2-api-contract-warm,run_447f8d785c1041d4a4c60aadd2cb94bf,2,api-contract,application-security,seeded,warm,1,True,True,True,True,True,2,2,0,13267,118,13267,118,1,0,1,True,read_file,True,1,2634
pmem-b2-api-contract-cold,run_b9f941ee957e48d8a892257f2b217292,2,api-contract,application-security,seeded,cold,2,True,True,True,True,True,6,6,0,39979,321,39979,321,6,0,2,False,list_files,False,0,7139
pmem-b3-billing-rules-warm,run_0a4089886dde4a709f78dea779be7059,3,billing-rules,application-security,learned,warm,1,True,True,True,True,True,2,2,0,13367,118,13367,118,1,0,1,True,read_file,True,1,3074
pmem-b3-billing-rules-cold,run_657917d251f449ddabf708bcab04de37,3,billing-rules,application-security,learned,cold,2,True,True,True,True,True,6,6,0,40246,363,40246,363,7,0,2,False,list_files,False,0,6244
pmem-b3-runtime-config-cold,run_697f0d8b06884b5da26007583389f265,3,runtime-config,operations,learned,cold,1,True,True,True,True,True,5,5,0,33302,278,33302,278,6,0,2,False,list_files,False,0,5054
pmem-b3-runtime-config-warm,run_55fddcf3d60149d495a8c3eea589a359,3,runtime-config,operations,learned,warm,2,True,True,True,True,True,2,2,0,13367,88,13367,88,1,0,1,True,read_file,True,1,3460
pmem-b3-queue-policy-warm,run_e552ef34d0ea499f8e02b791350b003e,3,queue-policy,operations,seeded,warm,1,True,True,True,True,True,2,2,0,13290,137,13290,137,1,0,1,True,read_file,True,1,3842
pmem-b3-queue-policy-cold,run_7c3408bc49e243feb33477735504dec8,3,queue-policy,operations,seeded,cold,2,True,True,True,True,True,6,6,0,39970,310,39970,310,6,0,2,False,list_files,False,0,8449
pmem-b3-model-routing-cold,run_4431657fc4f3449a89609242f4831a26,3,model-routing,developer-platform,seeded,cold,1,True,True,True,True,True,3,3,0,19780,179,19780,179,3,0,1,False,list_files,False,0,4803
pmem-b3-model-routing-warm,run_5d78d035cd464578992e30234e1be8f8,3,model-routing,developer-platform,seeded,warm,2,True,True,True,True,True,2,2,0,13266,115,13266,115,1,0,1,True,read_file,True,1,3544
pmem-b3-plugin-registry-warm,run_55a2ed8f256f43bfb80265c8bffb9892,3,plugin-registry,developer-platform,seeded,warm,1,True,True,True,True,True,2,2,0,13245,85,13245,85,1,0,1,True,read_file,True,1,2552
pmem-b3-plugin-registry-cold,run_e293b89f6fbc4c46aeb12f9a1ebe86d9,3,plugin-registry,developer-platform,seeded,cold,2,True,True,True,True,True,3,3,0,19639,149,19639,149,2,0,1,False,grep_files,False,0,4898
pmem-b3-deploy-runbook-cold,run_a8158f41a194465eaf45de2f4f91c603,3,deploy-runbook,operations,seeded,cold,1,True,True,True,True,True,3,3,0,19696,177,19696,177,2,0,1,False,grep_files,False,0,4694
pmem-b3-deploy-runbook-warm,run_48941f6c88d64680b2ce2257ea4a7e12,3,deploy-runbook,operations,seeded,warm,2,True,True,True,True,True,2,2,0,13283,94,13283,94,1,0,1,True,read_file,True,1,2986
pmem-b3-package-map-warm,run_63a3408e83544fe2a4d7ff4af5a519ab,3,package-map,developer-platform,learned,warm,1,True,True,True,True,True,2,2,0,13340,97,13340,97,1,0,1,True,read_file,True,1,3091
pmem-b3-package-map-cold,run_c1d42f5ef7694f2993234ce92a82e8f9,3,package-map,developer-platform,learned,cold,2,False,False,False,True,True,3,4,1,19738,203,21418,370,4,1,1,False,list_files,False,0,7126
pmem-b3-api-contract-cold,run_997e60208ea44e4f8da3577c9f6ba848,3,api-contract,application-security,seeded,cold,1,True,True,True,True,True,4,4,0,26854,270,26854,270,4,0,2,False,list_files,False,0,6145
pmem-b3-api-contract-warm,run_3cab0caf2e0e4dca889bda1e0542727d,3,api-contract,application-security,seeded,warm,2,True,True,True,True,True,2,2,0,13270,137,13270,137,1,0,1,True,read_file,True,1,2749
pmem-b3-schema-contract-warm,run_75a0768b1f3d4507a41482646d6183f2,3,schema-contract,data-governance,seeded,warm,1,True,True,True,True,True,2,2,0,13264,109,13264,109,1,0,1,True,read_file,True,1,3209
pmem-b3-schema-contract-cold,run_61d2632e49d44a24889df4fb538b9644,3,schema-contract,data-governance,seeded,cold,2,True,True,True,True,True,5,5,0,33473,285,33473,285,5,0,2,False,list_files,False,0,7717
pmem-b3-feature-flags-cold,run_b2208e2bfd534c4fa7333cba008e0bac,3,feature-flags,application-security,seeded,cold,1,True,True,True,True,True,4,4,0,26308,208,26308,208,3,0,1,False,list_files,False,0,5365
pmem-b3-feature-flags-warm,run_ad671e5f70e440b0b23a04b41b530a76,3,feature-flags,application-security,seeded,warm,2,True,True,True,True,True,2,2,0,13264,84,13264,84,1,0,1,True,read_file,True,1,3384
pmem-b3-cache-policy-warm,run_951ace436bf648a6a5d5cdc0bf8dc24d,3,cache-policy,data-governance,seeded,warm,1,True,True,True,True,True,2,2,0,13287,104,13287,104,1,0,1,True,read_file,True,1,3920
pmem-b3-cache-policy-cold,run_d7def96583fc4abca7fce1a454a94241,3,cache-policy,data-governance,seeded,cold,2,True,True,True,True,True,7,7,0,47878,521,47878,521,7,0,2,False,grep_files,False,0,11799
pmem-b3-migration-plan-cold,run_44fbffdf83d84d89878142f4270cffc4,3,migration-plan,data-governance,learned,cold,1,True,True,True,True,True,4,4,0,26429,263,26429,263,4,0,1,False,list_files,False,0,5968
pmem-b3-migration-plan-warm,run_080b3f417ae54bbab8bed45789ef9377,3,migration-plan,data-governance,learned,warm,2,True,True,True,True,True,2,2,0,13384,133,13384,133,1,0,1,True,read_file,True,1,3614
pmem-b3-observability-warm,run_426bd198f5a44c44896dbfb3870823ae,3,observability,operations,learned,warm,1,True,True,True,True,True,2,2,0,13382,100,13382,100,1,0,1,True,read_file,True,1,3114
pmem-b3-observability-cold,run_cefc36e95eae4a8d9af6a269f07aa109,3,observability,operations,learned,cold,2,True,True,True,True,True,6,6,0,40643,407,40643,407,7,0,1,False,list_files,False,0,10131
